time,num_links,connectivity
time,num_links,connectivity
0,105,1
0.2,105,1
0.4,105,1
0.6,105,1
0.8,105,1
1,105,1
1.2,105,1
1.4,105,1
1.6,105,1
1.8,105,1
2,105,1
2.2,105,1
2.4,105,1
2.6,105,1
2.8,105,1
3,105,1
3.2,105,1
3.4,105,1
3.6,105,1
3.8,105,1
4,105,1
4.2,105,1
4.4,105,1
4.6,105,1
4.8,105,1
5,105,1
5.2,105,1
5.4,105,1
5.6,105,1
5.8,105,1
6,105,1
6.2,105,1
6.4,105,1
6.6,105,1
6.8,105,1
7,105,1
7.2,105,1
7.4,105,1
7.6,105,1
7.8,105,1
8,105,1
8.2,105,1
8.4,105,1
8.6,105,1
8.8,105,1
9,105,1
9.2,105,1
9.4,105,1
9.6,105,1
9.8,105,1
10,105,1
10.2,105,1
10.4,105,1
10.6,105,1
10.8,105,1
11,105,1
11.2,105,1
11.4,105,1
11.6,105,1
11.8,105,1
12,105,1
12.2,105,1
12.4,105,1
12.6,105,1
12.8,105,1
13,105,1
13.2,105,1
13.4,105,1
13.6,105,1
13.8,105,1
14,105,1
14.2,105,1
14.4,105,1
14.6,105,1
14.8,105,1
15,105,1
15.2,105,1
15.4,105,1
15.6,105,1
15.8,105,1
16,105,1
16.2,105,1
16.4,105,1
16.6,105,1
16.8,105,1
17,105,1
17.2,105,1
17.4,105,1
17.6,105,1
17.8,105,1
18,105,1
18.2,105,1
18.4,105,1
18.6,105,1
18.8,105,1
19,105,1
19.2,105,1
19.4,105,1
19.6,105,1
19.8,105,1
20,105,1
20.2,105,1
20.4,105,1
20.6,105,1
20.8,105,1
21,105,1
21.2,105,1
21.4,105,1
21.6,105,1
21.8,105,1
22,105,1
22.2,105,1
22.4,105,1
22.6,105,1
22.8,105,1
23,105,1
23.2,105,1
23.4,105,1
23.6,105,1
23.8,105,1
24,105,1
24.2,105,1
24.4,105,1
24.6,105,1
24.8,105,1
25,105,1
25.2,105,1
25.4,105,1
25.6,105,1
25.8,105,1
26,105,1
26.2,105,1
26.4,105,1
26.6,105,1
26.8,105,1
27,105,1
27.2,105,1
27.4,105,1
27.6,105,1
27.8,105,1
28,105,1
28.2,105,1
28.4,105,1
28.6,105,1
28.8,105,1
29,105,1
29.2,105,1
29.4,105,1
29.6,105,1
29.8,105,1
30,105,1
30.2,105,1
30.4,105,1
30.6,105,1
30.8,105,1
31,105,1
31.2,105,1
31.4,105,1
31.6,105,1
31.8,105,1
32,105,1
32.2,105,1
32.4,105,1
32.6,105,1
32.8,105,1
33,105,1
33.2,105,1
33.4,105,1
33.6,105,1
33.8,105,1
34,105,1
34.2,105,1
34.4,105,1
34.6,105,1
34.8,105,1
35,105,1
35.2,105,1
35.4,105,1
35.6,105,1
35.8,105,1
36,105,1
36.2,105,1
36.4,105,1
36.6,105,1
36.8,105,1
37,105,1
37.2,105,1
37.4,105,1
37.6,105,1
37.8,105,1
38,105,1
38.2,105,1
38.4,105,1
38.6,105,1
38.8,105,1
39,105,1
39.2,105,1
39.4,105,1
39.6,105,1
39.8,105,1
40,105,1
40.2,105,1
40.4,105,1
40.6,105,1
40.8,105,1
41,105,1
41.2,105,1
41.4,105,1
41.6,105,1
41.8,105,1
42,105,1
42.2,105,1
42.4,105,1
42.6,105,1
42.8,105,1
43,105,1
43.2,105,1
43.4,105,1
43.6,105,1
43.8,105,1
44,105,1
44.2,105,1
44.4,105,1
44.6,105,1
44.8,105,1
45,105,1
45.2,105,1
45.4,105,1
45.6,105,1
45.8,105,1
46,105,1
46.2,105,1
46.4,105,1
46.6,105,1
46.8,105,1
47,105,1
47.2,105,1
47.4,105,1
47.6,105,1
47.8,105,1
48,105,1
48.2,105,1
48.4,105,1
48.6,105,1
48.8,105,1
49,105,1
49.2,105,1
49.4,105,1
49.6,105,1
49.8,105,1
50,105,1
50.2,105,1
50.4,105,1
50.6,105,1
50.8,105,1
51,105,1
51.2,105,1
51.4,105,1
51.6,105,1
51.8,105,1
52,105,1
52.2,105,1
52.4,105,1
52.6,105,1
52.8,105,1
