time,nodeId,x,y,z,node_type
0,0,0.332,0.332,30.006,0
0,1,-16.639,0.332,30.006,0
0,2,0.332,-16.639,30.006,0
0,3,-33.609,0.332,30.006,0
0,4,0.332,-33.609,30.006,0
0,5,-50.58,0.332,30.006,0
0,6,0.332,-50.58,30.006,0
0,7,-67.551,0.332,30.006,0
0,8,0.332,-67.551,30.006,0
0,9,-84.521,0.332,30.006,0
0,10,0.332,-84.521,30.006,0
0,11,-101.492,0.332,30.006,0
0,12,0.332,-101.492,30.006,0
0,13,-118.462,0.332,30.006,0
0,14,0.332,-118.462,30.006,0
0,1000,258.483,217.3,52.4978,1
0,1001,437.694,164.119,48.6806,1
0,1002,382.579,232.626,53.8405,1
0,1003,401.404,83.5464,50.6369,1
0,1004,138.441,425.841,47.255,1
0,1005,449.587,204.429,46.2986,1
0,1006,61.0613,288.707,49.43,1
0,1007,401.493,64.2981,46.4554,1
0,1008,430.809,137.168,53.9232,1
0,1009,384.669,327.603,52.7814,1
0,1010,351.009,78.7075,53.0994,1
0,1011,360.656,80.8874,53.4378,1
0,1012,79.6305,278.142,50.3636,1
0,1013,314.397,48.9656,50.0281,1
0,1014,455.873,236.051,47.9068,1
0.2,0,1.043,1.043,30.037,0
0.2,1,-15.928,1.043,30.037,0
0.2,2,1.043,-15.928,30.037,0
0.2,3,-32.899,1.043,30.037,0
0.2,4,1.043,-32.899,30.037,0
0.2,5,-49.869,1.043,30.037,0
0.2,6,1.043,-49.869,30.037,0
0.2,7,-66.84,1.043,30.037,0
0.2,8,1.043,-66.84,30.037,0
0.2,9,-83.81,1.043,30.037,0
0.2,10,1.043,-83.81,30.037,0
0.2,11,-100.781,1.043,30.037,0
0.2,12,1.043,-100.781,30.037,0
0.2,13,-117.751,1.043,30.037,0
0.2,14,1.043,-117.751,30.037,0
0.2,1000,258.908,217.735,52.4369,1
0.2,1001,438.164,164.456,48.6581,1
0.2,1002,382.67,232.249,53.8562,1
0.2,1003,401.304,83.8362,50.6007,1
0.2,1004,139.082,426.526,47.2157,1
