time,node_id,slot_id,num_groups,packets_per_slot,bonus_slots,urgency
0,0,14,15,4,none,0
0,1,13,15,4,none,0
0,2,12,15,4,none,0
0,3,11,15,4,none,0
0,4,10,15,4,none,0
0,5,9,15,4,none,0
0,6,8,15,4,none,0
0,7,7,15,4,none,0
0,8,6,15,4,none,0
0,9,5,15,4,none,0
0,10,4,15,4,none,0
0,11,3,15,4,none,0
0,12,2,15,4,none,0
0,13,1,15,4,none,0
0,14,0,15,4,none,0
8,0,14,15,4,none,0.296043
8,1,13,15,6,none,0.584018
8,2,12,15,3,none,0.0798016
8,3,11,15,5,none,0.4
8,4,10,15,5,none,0.4
8,5,9,15,3,none,0.0562368
8,6,8,15,5,none,0.4
8,7,7,15,3,none,0.0781184
8,8,6,15,3,none,0.0562368
8,9,5,15,4,none,0.232924
8,10,4,15,3,none,0.0781184
8,11,3,15,3,none,0.0562368
8,12,2,15,5,none,0.4
8,13,1,15,5,none,0.4
8,14,0,15,3,none,0.0781184
13,0,14,15,5,none,0.383032
13,1,13,15,5,none,0.4
13,2,12,15,3,none,0.0890592
13,3,11,15,5,none,0.4
13,4,10,15,5,none,0.4
13,5,9,15,3,none,0.0671776
13,6,8,15,5,none,0.4
13,7,7,15,3,none,0.0781184
13,8,6,15,3,none,0.0671776
13,9,5,15,4,none,0.366354
13,10,4,15,3,none,0.0899008
13,11,3,15,3,none,0.0697024
13,12,2,15,5,none,0.4
13,13,1,15,5,none,0.4
13,14,0,15,5,none,0.515391
18,0,14,15,4,none,0.27306
18,1,13,15,5,none,0.4
18,2,12,15,3,none,0.0890592
18,3,11,15,5,none,0.4
18,4,10,15,5,none,0.4
18,5,9,15,3,none,0.0688608
18,6,8,15,5,none,0.4
18,7,7,15,3,none,0.0798016
18,8,6,15,4,none,0.230782
18,9,5,15,5,none,0.368037
18,10,4,15,3,none,0.0899008
18,11,3,15,3,none,0.0671776
18,12,2,15,5,none,0.4
18,13,1,15,5,none,0.4
18,14,0,15,3,none,0.0781184
23,0,14,15,3,none,0.120978
23,1,13,15,4,none,0.298308
23,2,12,15,5,none,0.493802
23,3,11,15,5,none,0.4
23,4,10,15,5,none,0.4
23,5,9,15,3,none,0.0680192
23,6,8,15,5,none,0.4
23,7,7,15,3,none,0.0781184
23,8,6,15,4,none,0.366354
23,9,5,15,3,none,0.0671776
23,10,4,15,5,none,0.4
23,11,3,15,3,none,0.0671776
23,12,2,15,5,none,0.4
23,13,1,15,5,none,0.4
23,14,0,15,4,none,0.338887
28,0,14,15,3,none,0.07896
28,1,13,15,3,none,0.0781184
28,2,12,15,3,none,0.0671776
28,3,11,15,5,none,0.4
28,4,10,15,5,none,0.4
28,5,9,15,3,none,0.0671776
28,6,8,15,5,none,0.4
28,7,7,15,3,none,0.0781184
28,8,6,15,3,none,0.0781184
28,9,5,15,3,none,0.0781184
28,10,4,15,5,none,0.4
28,11,3,15,3,none,0.0697024
28,12,2,15,5,none,0.4
28,13,1,15,5,none,0.4
28,14,0,15,3,none,0.0596032
33,0,14,15,3,none,0.0798016
33,1,13,15,5,none,0.47418
33,2,12,15,4,none,0.148361
33,3,11,15,4,none,0.18322
33,4,10,15,3,none,0.045296
33,5,9,15,3,none,0.0697024
33,6,8,15,5,none,0.4
33,7,7,15,3,none,0.0798016
33,8,6,15,3,none,0.0798016
33,9,5,15,3,none,0.0798016
33,10,4,15,5,none,0.4
33,11,3,15,3,none,0.0671776
33,12,2,15,5,none,0.448707
33,13,1,15,5,none,0.4
33,14,0,15,6,none,0.514549
38,0,14,15,5,none,0.4
38,1,13,15,6,none,0.586543
38,2,12,15,3,none,0.0798016
38,3,11,15,3,none,0.0798016
38,4,10,15,5,none,0.373086
38,5,9,15,6,none,0.536507
38,6,8,15,5,none,0.4
38,7,7,15,3,none,0.0781184
38,8,6,15,3,none,0.0781184
38,9,5,15,3,none,0.0781184
38,10,4,15,5,none,0.4
38,11,3,15,3,none,0.0671776
38,12,2,15,3,none,0.0781184
38,13,1,15,5,none,0.4
38,14,0,15,3,none,0.0818208
43,0,14,15,5,none,0.4
43,1,13,15,3,none,0.0753946
43,2,12,15,3,none,0.0781184
43,3,11,15,3,none,0.0781184
43,4,10,15,5,none,0.448707
43,5,9,15,6,none,0.606894
43,6,8,15,5,none,0.4
43,7,7,15,4,none,0.229099
43,8,6,15,4,none,0.229099
43,9,5,15,3,none,0.0781184
43,10,4,15,5,none,0.4
43,11,3,15,3,none,0.0697024
43,12,2,15,3,none,0.0899008
43,13,1,15,6,none,0.712597
43,14,0,15,5,none,0.515391
48,0,14,15,7,none,0.778042
48,1,13,15,3,none,0.0781184
48,2,12,15,3,none,0.0781184
48,3,11,15,3,none,0.0781184
48,4,10,15,3,none,0.0478208
48,5,9,15,3,none,0.0419296
48,6,8,15,5,none,0.4
