time,nodeId,x,y,z,node_type
0,0,0.327,0.336,30,0
0,1,-16.643,0.326,30,0
0,2,0.338,-16.633,30,0
0,3,-33.614,0.315,30,0
0,4,0.349,-33.603,30,0
0,5,-50.584,0.304,30,0
0,6,0.36,-50.573,30,0
0,7,-67.555,0.293,30,0
0,8,0.39,-67.543,30,0
0,9,-84.521,0.237,30,0
0,10,0.391,-84.517,30,0
0,11,-101.495,0.236,30,0
0,12,0.392,-101.489,30,0
0,13,-118.468,0.235,30,0
0,14,0.392,-118.462,30,0
0,1000,258.483,217.3,52.4978,1
0,1001,384.953,346.857,48.3159,1
0,1002,142.329,80.6834,47.6447,1
0,1003,221.912,161.271,47.0954,1
0,1004,243.118,169.079,46.8306,1
0,1005,410.518,182.732,45.4526,1
0,1006,241.533,408.637,51.3212,1
0,1007,39.2594,448.906,49.9816,1
0,1008,213.963,141.927,50.367,1
0,1009,443.347,328.025,53.9252,1
0,1010,110.577,258.932,49.8212,1
0,1011,197.319,141.593,50.305,1
0,1012,98.1719,128.455,45.1039,1
0,1013,455.873,236.051,47.9068,1
0,1014,35.5698,437.432,47.9641,1
0.2,0,1.009,1.067,30,0
0.2,1,-15.961,0.995,30,0
0.2,2,1.08,-15.897,30,0
0.2,3,-32.932,0.923,30,0
0.2,4,1.151,-32.861,30,0
0.2,5,-49.902,0.851,30,0
0.2,6,1.283,-49.818,30,0
0.2,7,-66.852,0.65,30,0
0.2,8,1.375,-66.796,30,0
0.2,9,-83.828,0.48,30,0
0.2,10,1.378,-83.784,30,0
0.2,11,-100.82,0.474,30,0
0.2,12,1.381,-100.767,30,0
0.2,13,-117.805,0.47,30,0
0.2,14,1.382,-117.747,30,0
0.2,1000,258.908,217.735,52.4369,1
0.2,1001,385.752,347.453,48.275,1
0.2,1002,141.754,80.9895,47.6756,1
0.2,1003,221.786,161.905,47.0612,1
0.2,1004,243.051,169.158,46.8361,1
0.2,1005,410.713,182.009,45.442,1
0.2,1006,242.071,408.638,51.3189,1
0.2,1007,39.0835,448.352,49.9893,1
0.2,1008,213.852,142.723,50.3596,1
0.2,1009,443.66,328.219,53.8962,1
0.2,1010,111.334,259.621,49.8054,1
0.2,1011,197.946,141.379,50.3698,1
0.2,1012,98.3959,127.756,45.1043,1
0.2,1013,455.596,235.905,47.9365,1
0.2,1014,35.3622,436.824,47.9583,1
0.4,0,1.737,1.882,30,0
0.4,1,-15.236,1.704,30,0
0.4,2,1.911,-15.069,30,0
0.4,3,-32.209,1.527,30,0
0.4,4,2.115,-32.008,30,0
0.4,5,-49.181,1.349,30,0
0.4,6,2.456,-48.936,30,0
0.4,7,-66.095,0.819,30,0
0.4,8,2.608,-65.936,30,0
0.4,9,-83.082,0.451,30,0
0.4,10,2.618,-82.951,30,0
0.4,11,-100.112,0.428,30,0
0.4,12,2.623,-99.953,30,0
0.4,13,-117.122,0.415,30,0
0.4,14,2.627,-116.948,30,0
0.4,1000,259.333,218.169,52.376,1
0.4,1001,386.552,348.048,48.2341,1
0.4,1002,141.18,81.2956,47.7066,1
0.4,1003,221.66,162.539,47.0269,1
0.4,1004,242.983,169.237,46.8417,1
0.4,1005,410.907,181.285,45.4313,1
0.4,1006,242.609,408.639,51.3165,1
0.4,1007,38.9076,447.798,49.997,1
0.4,1008,213.74,143.519,50.3522,1
0.4,1009,443.973,328.413,53.8673,1
0.4,1010,112.09,260.309,49.7896,1
0.4,1011,198.573,141.165,50.4347,1
0.4,1012,98.6199,127.057,45.1046,1
0.4,1013,455.32,235.758,47.9661,1
0.4,1014,35.1546,436.215,47.9524,1
0.6,0,2.517,2.788,30,0
0.6,1,-14.461,2.47,30,0
0.6,2,2.827,-14.143,30,0
0.6,3,-31.44,2.153,30,0
0.6,4,3.31,-30.99,30,0
0.6,5,-48.418,1.835,30,0
0.6,6,3.856,-47.906,30,0
0.6,7,-65.318,0.988,30,0
0.6,8,4.069,-64.942,30,0
0.6,9,-82.268,0.242,30,0
0.6,10,4.087,-81.996,30,0
0.6,11,-99.344,0.14,30,0
0.6,12,4.098,-99.027,30,0
0.6,13,-116.402,0.106,30,0
0.6,14,4.105,-116.044,30,0
0.6,1000,259.758,218.603,52.315,1
0.6,1001,387.352,348.643,48.1932,1
0.6,1002,140.605,81.6018,47.7376,1
0.6,1003,221.533,163.174,46.9926,1
0.6,1004,242.916,169.316,46.8472,1
0.6,1005,411.102,180.562,45.4207,1
0.6,1006,243.147,408.64,51.3142,1
0.6,1007,38.7317,447.244,50.0047,1
0.6,1008,213.629,144.315,50.3447,1
0.6,1009,444.286,328.607,53.8384,1
0.6,1010,112.847,260.998,49.7739,1
0.6,1011,199.2,140.951,50.4995,1
0.6,1012,98.8439,126.357,45.105,1
0.6,1013,455.043,235.611,47.9958,1
0.6,1014,34.947,435.606,47.9465,1
0.8,0,3.357,3.788,30,0
0.8,1,-13.632,3.306,30,0
0.8,2,3.826,-13.116,30,0
0.8,3,-30.621,2.823,30,0
0.8,4,4.715,-29.793,30,0
0.8,5,-47.609,2.341,30,0
0.8,6,5.46,-46.71,30,0
0.8,7,-64.513,1.194,30,0
0.8,8,5.736,-63.797,30,0
0.8,9,-81.436,0.064,30,0
0.8,10,5.766,-80.902,30,0
0.8,11,-98.496,-0.292,30,0
0.8,12,5.784,-97.973,30,0
0.8,13,-115.612,-0.409,30,0
0.8,14,5.796,-115.021,30,0
0.8,1000,260.183,219.038,52.2541,1
0.8,1001,388.151,349.238,48.1523,1
0.8,1002,140.03,81.9079,47.7685,1
0.8,1003,221.407,163.808,46.9583,1
0.8,1004,242.849,169.395,46.8528,1
0.8,1005,411.297,179.839,45.4101,1
0.8,1006,243.685,408.641,51.3119,1
0.8,1007,38.5558,446.69,50.0124,1
0.8,1008,213.517,145.111,50.3373,1
0.8,1009,444.598,328.801,53.8095,1
0.8,1010,113.603,261.687,49.7581,1
0.8,1011,199.827,140.737,50.5644,1
0.8,1012,99.0679,125.658,45.1054,1
0.8,1013,454.766,235.465,48.0254,1
0.8,1014,34.7394,434.998,47.9407,1
1,0,4.259,4.885,30,0
1,1,-12.744,4.22,30,0
1,2,4.902,-11.986,30,0
1,3,-29.747,3.556,30,0
1,4,6.265,-28.438,30,0
1,5,-46.751,2.892,30,0
1,6,7.248,-45.333,30,0
1,7,-63.672,1.471,30,0
1,8,7.591,-62.484,30,0
1,9,-80.589,-0.006,30,0
1,10,7.638,-79.656,30,0
1,11,-97.628,-0.654,30,0
1,12,7.666,-96.777,30,0
1,13,-114.725,-1.025,30,0
1,14,7.684,-113.864,30,0
1,1000,260.608,219.472,52.1932,1
1,1001,388.951,349.834,48.1115,1
1,1002,139.455,82.214,47.7995,1
1,1003,221.281,164.442,46.924,1
1,1004,242.781,169.474,46.8583,1
1,1005,411.491,179.115,45.3994,1
1,1006,244.223,408.642,51.3096,1
1,1007,38.3799,446.135,50.0201,1
1,1008,213.406,145.907,50.3299,1
1,1009,444.911,328.995,53.7806,1
1,1010,114.359,262.375,49.7423,1
1,1011,200.453,140.523,50.6292,1
1,1012,99.2919,124.959,45.1058,1
1,1013,454.489,235.318,48.0551,1
1,1014,34.5318,434.389,47.9348,1
1.2,0,5.226,6.075,30,0
1.2,1,-11.796,5.221,30,0
1.2,2,6.05,-10.758,30,0
1.2,3,-28.817,4.367,30,0
1.2,4,7.829,-27.008,30,0
1.2,5,-45.839,3.513,30,0
1.2,6,9.182,-43.778,30,0
1.2,7,-62.787,1.846,30,0
1.2,8,9.616,-60.992,30,0
1.2,9,-79.715,0.065,30,0
1.2,10,9.686,-78.245,30,0
1.2,11,-96.746,-0.867,30,0
1.2,12,9.728,-95.428,30,0
1.2,13,-113.815,-1.528,30,0
1.2,14,9.754,-112.563,30,0
1.2,1000,261.033,219.906,52.1322,1
1.2,1001,389.751,350.429,48.0706,1
1.2,1002,138.881,82.5201,47.8305,1
1.2,1003,221.155,165.076,46.8897,1
1.2,1004,242.714,169.553,46.8639,1
1.2,1005,411.686,178.392,45.3888,1
1.2,1006,244.761,408.643,51.3072,1
1.2,1007,38.204,445.581,50.0278,1
1.2,1008,213.294,146.703,50.3225,1
1.2,1009,445.224,329.189,53.7517,1
1.2,1010,115.116,263.064,49.7265,1
1.2,1011,201.08,140.309,50.694,1
1.2,1012,99.5158,124.26,45.1061,1
1.2,1013,454.213,235.172,48.0848,1
1.2,1014,34.3242,433.78,47.9289,1
1.4,0,6.257,7.357,30,0
1.4,1,-10.786,6.312,30,0
1.4,2,7.262,-9.436,30,0
1.4,3,-27.828,5.266,30,0
1.4,4,9.396,-25.514,30,0
1.4,5,-44.871,4.221,30,0
1.4,6,11.107,-42.141,30,0
1.4,7,-61.85,2.34,30,0
1.4,8,11.782,-59.318,30,0
1.4,9,-78.801,0.3,30,0
1.4,10,11.895,-76.657,30,0
1.4,11,-95.835,-0.9,30,0
1.4,12,11.955,-93.914,30,0
1.4,13,-112.889,-1.84,30,0
1.4,14,11.993,-111.108,30,0
1.4,1000,261.458,220.34,52.0713,1
1.4,1001,390.55,351.024,48.0297,1
1.4,1002,138.306,82.8263,47.8614,1
1.4,1003,221.028,165.71,46.8554,1
1.4,1004,242.646,169.632,46.8694,1
1.4,1005,411.881,177.669,45.3781,1
1.4,1006,245.299,408.644,51.3049,1
1.4,1007,38.028,445.027,50.0355,1
1.4,1008,213.183,147.499,50.315,1
1.4,1009,445.537,329.383,53.7227,1
1.4,1010,115.872,263.752,49.7107,1
1.4,1011,201.707,140.095,50.7589,1
1.4,1012,99.7398,123.56,45.1065,1
1.4,1013,453.936,235.025,48.1144,1
1.4,1014,34.1166,433.172,47.923,1
1.6,0,7.349,8.725,30,0
1.6,1,-9.716,7.493,30,0
1.6,2,8.531,-8.027,30,0
1.6,3,-26.78,6.26,30,0
1.6,4,10.956,-23.968,30,0
1.6,5,-43.845,5.028,30,0
1.6,6,12.973,-40.464,30,0
1.6,7,-60.858,2.967,30,0
1.6,8,13.919,-57.564,30,0
1.6,9,-77.836,0.714,30,0
1.6,10,14.245,-74.888,30,0
1.6,11,-94.882,-0.731,30,0
1.6,12,14.335,-92.229,30,0
1.6,13,-111.932,-1.936,30,0
1.6,14,14.388,-109.492,30,0
1.6,1000,261.883,220.775,52.0104,1
1.6,1001,391.35,351.62,47.9888,1
1.6,1002,137.731,83.1324,47.8924,1
1.6,1003,220.902,166.345,46.8211,1
1.6,1004,242.579,169.711,46.875,1
1.6,1005,412.076,176.946,45.3675,1
1.6,1006,245.837,408.645,51.3026,1
1.6,1007,37.8521,444.473,50.0432,1
1.6,1008,213.071,148.296,50.3076,1
1.6,1009,445.849,329.577,53.6938,1
1.6,1010,116.629,264.441,49.695,1
1.6,1011,202.334,139.881,50.8237,1
1.6,1012,99.9638,122.861,45.1069,1
1.6,1013,453.659,234.879,48.1441,1
1.6,1014,33.909,432.563,47.9172,1
1.8,0,8.498,10.169,30,0
1.8,1,-8.589,8.76,30,0
1.8,2,9.847,-6.542,30,0
1.8,3,-25.676,7.351,30,0
1.8,4,12.499,-22.383,30,0
1.8,5,-42.763,5.942,30,0
1.8,6,14.769,-38.766,30,0
1.8,7,-59.807,3.735,30,0
1.8,8,15.97,-55.779,30,0
1.8,9,-76.815,1.314,30,0
1.8,10,16.584,-73.03,30,0
1.8,11,-93.877,-0.351,30,0
1.8,12,16.747,-90.444,30,0
1.8,13,-110.933,-1.798,30,0
1.8,14,16.843,-107.768,30,0
1.8,1000,262.308,221.209,51.9494,1
1.8,1001,392.15,352.215,47.9479,1
1.8,1002,137.156,83.4385,47.9233,1
1.8,1003,220.776,166.979,46.7869,1
1.8,1004,242.512,169.79,46.8805,1
1.8,1005,412.27,176.222,45.3568,1
1.8,1006,246.375,408.646,51.3003,1
1.8,1007,37.6762,443.919,50.0509,1
1.8,1008,212.959,149.092,50.3002,1
1.8,1009,446.162,329.771,53.6649,1
1.8,1010,117.385,265.13,49.6792,1
1.8,1011,202.961,139.667,50.8886,1
1.8,1012,100.188,122.162,45.1073,1
1.8,1013,453.382,234.732,48.1737,1
1.8,1014,33.7014,431.954,47.9113,1
2,0,9.697,11.679,30,0
2,1,-7.411,10.107,30,0
2,2,11.2,-4.994,30,0
2,3,-24.519,8.536,30,0
2,4,14.017,-20.772,30,0
2,5,-41.626,6.964,30,0
2,6,16.486,-37.063,30,0
2,7,-58.698,4.645,30,0
2,8,17.921,-53.985,30,0
2,9,-75.713,2.121,30,0
2,10,18.814,-71.147,30,0
2,11,-92.795,0.26,30,0
2,12,19.116,-88.603,30,0
2,13,-109.862,-1.407,30,0
2,14,19.264,-105.997,30,0
2,1000,262.733,221.643,51.8885,1
2,1001,392.949,352.81,47.907,1
2,1002,136.582,83.7447,47.9543,1
2,1003,220.65,167.613,46.7526,1
2,1004,242.444,169.869,46.8861,1
2,1005,412.465,175.499,45.3462,1
2,1006,246.913,408.647,51.298,1
2,1007,37.5003,443.365,50.0586,1
2,1008,212.848,149.888,50.2928,1
2,1009,446.475,329.966,53.636,1
2,1010,118.142,265.818,49.6634,1
2,1011,203.588,139.453,50.9534,1
2,1012,100.412,121.463,45.1076,1
2,1013,453.105,234.585,48.2034,1
2,1014,33.4938,431.346,47.9054,1
2.2,0,10.938,13.245,30,0
2.2,1,-6.187,11.527,30,0
2.2,2,12.579,-3.395,30,0
2.2,3,-23.313,9.81,30,0
2.2,4,15.503,-19.148,30,0
2.2,5,-40.439,8.092,30,0
2.2,6,18.12,-35.37,30,0
2.2,7,-57.532,5.694,30,0
2.2,8,19.765,-52.202,30,0
2.2,9,-74.474,3.192,30,0
2.2,10,20.921,-69.265,30,0
2.2,11,-91.584,1.149,30,0
2.2,12,21.392,-86.727,30,0
2.2,13,-108.67,-0.726,30,0
2.2,14,21.647,-104.174,30,0
2.2,1000,263.157,222.078,51.8276,1
2.2,1001,393.749,353.405,47.8661,1
2.2,1002,136.007,84.0508,47.9853,1
2.2,1003,220.523,168.247,46.7183,1
2.2,1004,242.377,169.948,46.8916,1
2.2,1005,412.66,174.776,45.3355,1
2.2,1006,247.451,408.648,51.2956,1
2.2,1007,37.3244,442.811,50.0663,1
2.2,1008,212.736,150.684,50.2853,1
2.2,1009,446.788,330.16,53.6071,1
2.2,1010,118.898,266.507,49.6476,1
2.2,1011,204.215,139.239,51.0182,1
2.2,1012,100.636,120.763,45.108,1
2.2,1013,452.829,234.439,48.2331,1
2.2,1014,33.2862,430.737,47.8996,1
2.4,0,12.214,14.855,30,0
2.4,1,-4.926,13.01,30,0
2.4,2,13.975,-1.758,30,0
2.4,3,-22.066,11.166,30,0
2.4,4,16.952,-17.521,30,0
2.4,5,-39.207,9.322,30,0
2.4,6,19.669,-33.699,30,0
2.4,7,-56.288,6.905,30,0
2.4,8,21.496,-50.446,30,0
2.4,9,-73.105,4.523,30,0
2.4,10,22.895,-67.406,30,0
2.4,11,-90.253,2.31,30,0
2.4,12,23.548,-84.845,30,0
2.4,13,-107.366,0.243,30,0
2.4,14,23.945,-102.312,30,0
2.4,1000,263.582,222.512,51.7667,1
2.4,1001,394.549,354.001,47.8252,1
2.4,1002,135.432,84.3569,48.0162,1
2.4,1003,220.397,168.881,46.684,1
2.4,1004,242.31,170.027,46.8972,1
2.4,1005,412.854,174.052,45.3249,1
2.4,1006,247.989,408.649,51.2933,1
2.4,1007,37.1485,442.257,50.074,1
2.4,1008,212.625,151.48,50.2779,1
2.4,1009,447.1,330.354,53.5781,1
2.4,1010,119.654,267.195,49.6318,1
2.4,1011,204.842,139.025,51.0831,1
2.4,1012,100.86,120.064,45.1084,1
2.4,1013,452.552,234.292,48.2627,1
2.4,1014,33.0786,430.128,47.8937,1
2.6,0,13.516,16.496,30,0
2.6,1,-3.634,14.546,30,0
2.6,2,15.377,-0.096,30,0
2.6,3,-20.784,12.596,30,0
2.6,4,18.36,-15.901,30,0
2.6,5,-37.934,10.646,30,0
2.6,6,21.132,-32.06,30,0
2.6,7,-54.924,8.321,30,0
2.6,8,23.112,-48.731,30,0
2.6,9,-71.615,6.107,30,0
2.6,10,24.731,-65.587,30,0
2.6,11,-88.809,3.737,30,0
2.6,12,25.572,-82.98,30,0
2.6,13,-105.959,1.49,30,0
2.6,14,26.128,-100.436,30,0
2.6,1000,264.007,222.946,51.7057,1
2.6,1001,395.348,354.596,47.7843,1
2.6,1002,134.858,84.663,48.0472,1
2.6,1003,220.271,169.515,46.6497,1
2.6,1004,242.242,170.106,46.9027,1
2.6,1005,413.049,173.329,45.3143,1
2.6,1006,248.527,408.65,51.291,1
2.6,1007,36.9726,441.703,50.0817,1
2.6,1008,212.513,152.276,50.2705,1
2.6,1009,447.413,330.548,53.5492,1
2.6,1010,120.411,267.884,49.6161,1
2.6,1011,205.469,138.811,51.1479,1
2.6,1012,101.084,119.365,45.1088,1
2.6,1013,452.275,234.146,48.2924,1
2.6,1014,32.871,429.52,47.8878,1
2.8,0,14.835,18.159,30,0
2.8,1,-2.319,16.124,30,0
2.8,2,16.779,1.58,30,0
2.8,3,-19.474,14.089,30,0
2.8,4,19.725,-14.297,30,0
2.8,5,-36.628,12.054,30,0
2.8,6,22.512,-30.461,30,0
2.8,7,-53.534,9.83,30,0
2.8,8,24.618,-47.065,30,0
2.8,9,-70.047,7.88,30,0
2.8,10,26.427,-63.825,30,0
2.8,11,-87.258,5.423,30,0
2.8,12,27.456,-81.15,30,0
2.8,13,-104.454,3.008,30,0
2.8,14,28.185,-98.571,30,0
2.8,1000,264.432,223.381,51.6448,1
2.8,1001,396.148,355.191,47.7434,1
2.8,1002,134.283,84.9692,48.0782,1
2.8,1003,220.145,170.15,46.6154,1
2.8,1004,242.175,170.185,46.9082,1
2.8,1005,413.244,172.606,45.3036,1
2.8,1006,249.065,408.651,51.2887,1
2.8,1007,36.7967,441.149,50.0894,1
2.8,1008,212.402,153.072,50.2631,1
2.8,1009,447.726,330.742,53.5203,1
2.8,1010,121.167,268.573,49.6003,1
2.8,1011,206.095,138.597,51.2128,1
2.8,1012,101.308,118.666,45.1091,1
2.8,1013,451.998,233.999,48.322,1
2.8,1014,32.6634,428.911,47.882,1
3,0,16.164,19.831,30,0
3,1,-0.989,17.732,30,0
3,2,18.171,3.258,30,0
3,3,-18.143,15.633,30,0
3,4,21.046,-12.714,30,0
3,5,-35.296,13.535,30,0
3,6,23.813,-28.906,30,0
3,7,-52.126,11.414,30,0
3,8,26.015,-45.457,30,0
3,9,-68.489,9.703,30,0
3,10,27.988,-62.128,30,0
3,11,-85.618,7.337,30,0
3,12,29.199,-79.373,30,0
3,13,-102.856,4.787,30,0
3,14,30.106,-96.737,30,0
3,1000,264.857,223.815,51.5839,1
3,1001,396.948,355.786,47.7026,1
3,1002,133.708,85.2753,48.1091,1
3,1003,220.018,170.784,46.5811,1
3,1004,242.107,170.264,46.9138,1
3,1005,413.438,171.883,45.293,1
3,1006,249.603,408.651,51.2863,1
3,1007,36.6208,440.595,50.0971,1
3,1008,212.29,153.868,50.2557,1
3,1009,448.039,330.936,53.4914,1
3,1010,121.924,269.261,49.5845,1
3,1011,206.722,138.383,51.2776,1
3,1012,101.532,117.966,45.1095,1
3,1013,451.722,233.853,48.3517,1
3,1014,32.4558,428.302,47.8761,1
3.2,0,17.495,21.503,30,0
3.2,1,0.348,19.361,30,0
3.2,2,19.547,4.928,30,0
3.2,3,-16.798,17.218,30,0
3.2,4,22.324,-11.158,30,0
3.2,5,-33.945,15.075,30,0
3.2,6,25.042,-27.397,30,0
3.2,7,-50.707,13.057,30,0
3.2,8,27.313,-43.909,30,0
3.2,9,-66.951,11.555,30,0
3.2,10,29.419,-60.504,30,0
3.2,11,-83.98,9.322,30,0
3.2,12,30.804,-77.66,30,0
3.2,13,-101.182,6.798,30,0
3.2,14,31.888,-94.95,30,0
3.2,1000,265.282,224.249,51.5229,1
3.2,1001,397.747,356.382,47.6617,1
3.2,1002,133.133,85.5814,48.1401,1
3.2,1003,219.892,171.418,46.5468,1
3.2,1004,242.04,170.343,46.9193,1
3.2,1005,413.633,171.159,45.2823,1
3.2,1006,250.141,408.652,51.284,1
3.2,1007,36.4449,440.041,50.1048,1
3.2,1008,212.179,154.664,50.2482,1
3.2,1009,448.351,331.13,53.4625,1
3.2,1010,122.68,269.95,49.5687,1
3.2,1011,207.349,138.169,51.3424,1
3.2,1012,101.756,117.267,45.1099,1
3.2,1013,451.445,233.706,48.3814,1
3.2,1014,32.2482,427.694,47.8702,1
3.4,0,18.821,23.167,30,0
3.4,1,1.687,20.999,30,0
3.4,2,20.902,6.583,30,0
3.4,3,-15.447,18.831,30,0
3.4,4,23.56,-9.632,30,0
3.4,5,-32.581,16.663,30,0
3.4,6,26.204,-25.934,30,0
3.4,7,-49.286,14.743,30,0
3.4,8,28.519,-42.422,30,0
3.4,9,-65.441,13.414,30,0
3.4,10,30.728,-58.955,30,0
3.4,11,-82.375,11.314,30,0
3.4,12,32.275,-76.018,30,0
3.4,13,-99.516,8.873,30,0
3.4,14,33.533,-93.223,30,0
3.4,1000,265.707,224.684,51.462,1
3.4,1001,398.547,356.977,47.6208,1
3.4,1002,132.559,85.8876,48.171,1
3.4,1003,219.766,172.052,46.5126,1
3.4,1004,241.973,170.422,46.9249,1
3.4,1005,413.828,170.436,45.2717,1
3.4,1006,250.679,408.653,51.2817,1
3.4,1007,36.269,439.487,50.1125,1
3.4,1008,212.067,155.461,50.2408,1
3.4,1009,448.664,331.324,53.4335,1
3.4,1010,123.437,270.638,49.5529,1
3.4,1011,207.976,137.955,51.4073,1
3.4,1012,101.98,116.568,45.1103,1
3.4,1013,451.168,233.559,48.411,1
3.4,1014,32.0406,427.085,47.8644,1
3.6,0,20.136,24.815,30,0
3.6,1,3.02,22.638,30,0
3.6,2,22.231,8.214,30,0
3.6,3,-14.097,20.462,30,0
3.6,4,24.755,-8.137,30,0
3.6,5,-31.214,18.286,30,0
3.6,6,27.309,-24.516,30,0
3.6,7,-47.871,16.457,30,0
3.6,8,29.644,-40.994,30,0
3.6,9,-63.966,15.264,30,0
3.6,10,31.929,-57.482,30,0
3.6,11,-80.813,13.292,30,0
3.6,12,33.62,-74.451,30,0
3.6,13,-97.891,10.946,30,0
3.6,14,35.043,-91.564,30,0
3.6,1000,266.132,225.118,51.4011,1
3.6,1001,399.347,357.572,47.5799,1
3.6,1002,131.984,86.1937,48.202,1
3.6,1003,219.64,172.686,46.4783,1
3.6,1004,241.905,170.501,46.9304,1
3.6,1005,414.022,169.713,45.261,1
3.6,1006,251.217,408.654,51.2794,1
3.6,1007,36.0931,438.933,50.1202,1
3.6,1008,211.955,156.257,50.2334,1
3.6,1009,448.977,331.518,53.4046,1
3.6,1010,124.193,271.327,49.5372,1
3.6,1011,208.603,137.741,51.4721,1
3.6,1012,102.204,115.869,45.1106,1
3.6,1013,450.891,233.413,48.4407,1
3.6,1014,31.833,426.476,47.8585,1
3.8,0,21.436,26.44,30,0
3.8,1,4.341,24.27,30,0
3.8,2,23.531,9.817,30,0
3.8,3,-12.753,22.101,30,0
3.8,4,25.914,-6.674,30,0
3.8,5,-29.848,19.931,30,0
3.8,6,28.364,-23.14,30,0
3.8,7,-46.468,18.182,30,0
3.8,8,30.699,-39.621,30,0
3.8,9,-62.532,17.089,30,0
3.8,10,33.032,-56.079,30,0
3.8,11,-79.301,15.237,30,0
3.8,12,34.852,-72.959,30,0
3.8,13,-96.315,12.993,30,0
3.8,14,36.427,-89.979,30,0
3.8,1000,266.557,225.552,51.3401,1
3.8,1001,400.146,358.167,47.539,1
3.8,1002,131.409,86.4998,48.233,1
3.8,1003,219.513,173.321,46.444,1
3.8,1004,241.838,170.58,46.936,1
3.8,1005,414.217,168.989,45.2504,1
3.8,1006,251.755,408.655,51.277,1
3.8,1007,35.9171,438.379,50.1279,1
3.8,1008,211.844,157.053,50.226,1
3.8,1009,449.29,331.712,53.3757,1
3.8,1010,124.949,272.016,49.5214,1
3.8,1011,209.23,137.527,51.537,1
3.8,1012,102.428,115.169,45.111,1
3.8,1013,450.615,233.266,48.4704,1
3.8,1014,31.6254,425.868,47.8526,1
4,0,22.716,28.038,30,0
4,1,5.647,25.888,30,0
4,2,24.8,11.388,30,0
4,3,-11.422,23.737,30,0
4,4,27.041,-5.242,30,0
4,5,-28.49,21.587,30,0
4,6,29.378,-21.8,30,0
4,7,-45.084,19.908,30,0
4,8,31.695,-38.298,30,0
4,9,-61.143,18.878,30,0
4,10,34.052,-54.742,30,0
4,11,-77.845,17.134,30,0
4,12,35.982,-71.539,30,0
4,13,-94.796,14.994,30,0
4,14,37.694,-88.468,30,0
4,1000,266.982,225.987,51.2792,1
4,1001,400.946,358.763,47.4981,1
4,1002,130.834,86.8059,48.2639,1
4,1003,219.387,173.955,46.4097,1
4,1004,241.771,170.659,46.9415,1
4,1005,414.412,168.266,45.2398,1
4,1006,252.293,408.656,51.2747,1
4,1007,35.7412,437.825,50.1356,1
4,1008,211.732,157.849,50.2185,1
4,1009,449.603,331.906,53.3468,1
4,1010,125.706,272.704,49.5056,1
4,1011,209.857,137.313,51.6018,1
4,1012,102.652,114.47,45.1114,1
4,1013,450.338,233.12,48.5,1
4,1014,31.4178,425.259,47.8468,1
4.2,0,23.973,29.606,30,0
4.2,1,6.934,27.485,30,0
4.2,2,26.037,12.924,30,0
4.2,3,-10.106,25.365,30,0
4.2,4,28.138,-3.839,30,0
4.2,5,-27.146,23.244,30,0
4.2,6,30.361,-20.491,30,0
4.2,7,-43.723,21.621,30,0
4.2,8,32.645,-37.017,30,0
4.2,9,-59.802,20.622,30,0
4.2,10,35.004,-53.462,30,0
4.2,11,-76.448,18.971,30,0
4.2,12,37.023,-70.187,30,0
4.2,13,-93.339,16.934,30,0
4.2,14,38.856,-87.03,30,0
4.2,1000,267.407,226.421,51.2183,1
4.2,1001,401.746,359.358,47.4572,1
4.2,1002,130.26,87.1121,48.2949,1
4.2,1003,219.261,174.589,46.3754,1
4.2,1004,241.703,170.738,46.9471,1
4.2,1005,414.607,167.543,45.2291,1
4.2,1006,252.831,408.657,51.2724,1
4.2,1007,35.5653,437.27,50.1433,1
4.2,1008,211.621,158.645,50.2111,1
4.2,1009,449.915,332.1,53.3179,1
4.2,1010,126.462,273.393,49.4898,1
4.2,1011,210.484,137.099,51.6666,1
4.2,1012,102.876,113.771,45.1118,1
4.2,1013,450.061,232.973,48.5297,1
4.2,1014,31.2102,424.65,47.8409,1
4.4,0,25.207,31.141,30,0
4.4,1,8.198,29.058,30,0
4.4,2,27.244,14.426,30,0
4.4,3,-8.811,26.975,30,0
4.4,4,29.212,-2.462,30,0
4.4,5,-25.82,24.892,30,0
4.4,6,31.32,-19.208,30,0
4.4,7,-42.391,23.313,30,0
4.4,8,33.559,-35.77,30,0
4.4,9,-58.51,22.313,30,0
4.4,10,35.902,-52.23,30,0
4.4,11,-75.112,20.74,30,0
4.4,12,37.992,-68.895,30,0
4.4,13,-91.948,18.803,30,0
4.4,14,39.927,-85.66,30,0
4.4,1000,267.832,226.855,51.1573,1
4.4,1001,402.545,359.953,47.4163,1
4.4,1002,129.685,87.4182,48.3259,1
4.4,1003,219.134,175.223,46.3411,1
4.4,1004,241.636,170.817,46.9526,1
4.4,1005,414.801,166.82,45.2185,1
4.4,1006,253.369,408.658,51.2701,1
4.4,1007,35.3894,436.716,50.151,1
4.4,1008,211.509,159.441,50.2037,1
4.4,1009,450.228,332.294,53.289,1
4.4,1010,127.219,274.081,49.474,1
4.4,1011,211.111,136.885,51.7315,1
4.4,1012,103.1,113.072,45.1121,1
4.4,1013,449.784,232.827,48.5593,1
4.4,1014,31.0026,424.042,47.835,1
4.6,0,26.416,32.644,30,0
4.6,1,9.439,30.604,30,0
4.6,2,28.42,15.892,30,0
4.6,3,-7.538,28.564,30,0
4.6,4,30.266,-1.107,30,0
4.6,5,-24.516,26.524,30,0
4.6,6,32.265,-17.942,30,0
