time,nodeId,x,y,z,node_type,speed
0.1,0,-0.0002999,0.000366544,-0.00266578,0,0.0270752
0.1,1,1.011,0.033,-0.04,0,0
0.1,2,1.773,0.089,-1.46,0,0
0.1,3,2.988,0.067,0.03,0,0
0.1,4,4.026,0.055,-0.17,0,0
0.1,5,5.045,0.067,0.05,0,0
0.1,6,5.994,0.1,0.29,0,0
0.1,7,6.615,0.466,-1.21,0,0
0.1,8,7.714,-0.155,-3.02,0,0
0.1,9,1.064,6.082,-6.46,0,0
0.1,10,1.046,-0.366,-0.35,0,0
0.1,11,1.091,1.565,1.19,0,0
0.1,12,2.722,0.377,2.3,0,0
0.1,13,2.43,0.61,-6.19,0,0
0.1,14,3.981,1.043,0.02,0,0
0.2,0,-0.0005998,0.000733089,-0.00533156,0,0.0270752
0.2,1,1.011,0.033,-0.04,0,0
0.2,2,1.773,0.089,-1.46,0,0
0.2,3,2.988,0.067,0.03,0,0
0.2,4,4.026,0.055,-0.17,0,0
0.2,5,5.045,0.067,0.05,0,0
0.2,6,5.994,0.1,0.29,0,0
0.2,7,6.615,0.466,-1.21,0,0
0.2,8,7.714,-0.155,-3.02,0,0
0.2,9,1.064,6.082,-6.46,0,0
0.2,10,1.046,-0.366,-0.35,0,0
0.2,11,1.091,1.565,1.19,0,0
0.2,12,2.722,0.377,2.3,0,0
0.2,13,2.43,0.61,-6.19,0,0
0.2,14,3.981,1.043,0.02,0,0
0.3,0,-0.0008997,0.00109963,-0.00799733,0,0.0270752
0.3,1,1.011,0.033,-0.04,0,0
0.3,2,1.773,0.089,-1.46,0,0
0.3,3,2.988,0.067,0.03,0,0
0.3,4,4.026,0.055,-0.17,0,0
0.3,5,5.045,0.067,0.05,0,0
0.3,6,5.994,0.1,0.29,0,0
0.3,7,6.615,0.466,-1.21,0,0
0.3,8,7.714,-0.155,-3.02,0,0
0.3,9,1.064,6.082,-6.46,0,0
0.3,10,1.046,-0.366,-0.35,0,0
0.3,11,1.091,1.565,1.19,0,0
0.3,12,2.722,0.377,2.3,0,0
0.3,13,2.43,0.61,-6.19,0,0
0.3,14,3.981,1.043,0.02,0,0
0.4,0,-0.0011996,0.00146618,-0.0106631,0,0.0270752
0.4,1,1.011,0.033,-0.04,0,0
0.4,2,1.773,0.089,-1.46,0,0
0.4,3,2.988,0.067,0.03,0,0
0.4,4,4.026,0.055,-0.17,0,0
0.4,5,5.045,0.067,0.05,0,0
0.4,6,5.994,0.1,0.29,0,0
0.4,7,6.615,0.466,-1.21,0,0
0.4,8,7.714,-0.155,-3.02,0,0
0.4,9,1.064,6.082,-6.46,0,0
0.4,10,1.046,-0.366,-0.35,0,0
0.4,11,1.091,1.565,1.19,0,0
0.4,12,2.722,0.377,2.3,0,0
0.4,13,2.43,0.61,-6.19,0,0
0.4,14,3.981,1.043,0.02,0,0
0.5,0,-0.0014995,0.00183272,-0.0133289,0,0.0270752
0.5,1,1.011,0.033,-0.04,0,0
0.5,2,1.773,0.089,-1.46,0,0
0.5,3,2.988,0.067,0.03,0,0
0.5,4,4.026,0.055,-0.17,0,0
0.5,5,5.045,0.067,0.05,0,0
0.5,6,5.994,0.1,0.29,0,0
0.5,7,6.615,0.466,-1.21,0,0
0.5,8,7.714,-0.155,-3.02,0,0
0.5,9,1.064,6.082,-6.46,0,0
0.5,10,1.046,-0.366,-0.35,0,0
0.5,11,1.091,1.565,1.19,0,0
0.5,12,2.722,0.377,2.3,0,0
0.5,13,2.43,0.61,-6.19,0,0
0.5,14,3.981,1.043,0.02,0,0
0.6,0,-0.0017994,0.00219927,-0.0159947,0,0.0270752
0.6,1,1.011,0.033,-0.04,0,0
0.6,2,1.773,0.089,-1.46,0,0
0.6,3,2.988,0.067,0.03,0,0
0.6,4,4.026,0.055,-0.17,0,0
0.6,5,5.045,0.067,0.05,0,0
0.6,6,5.994,0.1,0.29,0,0
0.6,7,6.615,0.466,-1.21,0,0
0.6,8,7.714,-0.155,-3.02,0,0
0.6,9,1.064,6.082,-6.46,0,0
0.6,10,1.046,-0.366,-0.35,0,0
0.6,11,1.091,1.565,1.19,0,0
0.6,12,2.722,0.377,2.3,0,0
0.6,13,2.43,0.61,-6.19,0,0
0.6,14,3.981,1.043,0.02,0,0
0.7,0,-0.0020993,0.00256581,-0.0186604,0,0.0270752
0.7,1,1.011,0.033,-0.04,0,0
0.7,2,1.773,0.089,-1.46,0,0
0.7,3,2.988,0.067,0.03,0,0
0.7,4,4.026,0.055,-0.17,0,0
0.7,5,5.045,0.067,0.05,0,0
0.7,6,5.994,0.1,0.29,0,0
0.7,7,6.615,0.466,-1.21,0,0
0.7,8,7.714,-0.155,-3.02,0,0
0.7,9,1.064,6.082,-6.46,0,0
0.7,10,1.046,-0.366,-0.35,0,0
0.7,11,1.091,1.565,1.19,0,0
0.7,12,2.722,0.377,2.3,0,0
0.7,13,2.43,0.61,-6.19,0,0
0.7,14,3.981,1.043,0.02,0,0
0.8,0,-0.0023992,0.00293236,-0.0213262,0,0.0270752
0.8,1,1.011,0.033,-0.04,0,0
0.8,2,1.773,0.089,-1.46,0,0
0.8,3,2.988,0.067,0.03,0,0
0.8,4,4.026,0.055,-0.17,0,0
0.8,5,5.045,0.067,0.05,0,0
0.8,6,5.994,0.1,0.29,0,0
0.8,7,6.615,0.466,-1.21,0,0
0.8,8,7.714,-0.155,-3.02,0,0
0.8,9,1.064,6.082,-6.46,0,0
0.8,10,1.046,-0.366,-0.35,0,0
0.8,11,1.091,1.565,1.19,0,0
0.8,12,2.722,0.377,2.3,0,0
0.8,13,2.43,0.61,-6.19,0,0
0.8,14,3.981,1.043,0.02,0,0
0.9,0,-0.0026991,0.0032989,-0.023992,0,0.0270752
0.9,1,1.011,0.033,-0.04,0,0
0.9,2,1.773,0.089,-1.46,0,0
0.9,3,2.988,0.067,0.03,0,0
0.9,4,4.026,0.055,-0.17,0,0
0.9,5,5.045,0.067,0.05,0,0
0.9,6,5.994,0.1,0.29,0,0
0.9,7,6.615,0.466,-1.21,0,0
0.9,8,7.714,-0.155,-3.02,0,0
0.9,9,1.064,6.082,-6.46,0,0
0.9,10,1.046,-0.366,-0.35,0,0
0.9,11,1.091,1.565,1.19,0,0
0.9,12,2.722,0.377,2.3,0,0
0.9,13,2.43,0.61,-6.19,0,0
0.9,14,3.981,1.043,0.02,0,0
1,0,-0.002999,0.00366544,-0.0266578,0,0.0270752
1,1,1.011,0.033,-0.04,0,0
1,2,1.773,0.089,-1.46,0,0
1,3,2.988,0.067,0.03,0,0
1,4,4.026,0.055,-0.17,0,0
1,5,5.045,0.067,0.05,0,0
1,6,5.994,0.1,0.29,0,0
1,7,6.615,0.466,-1.21,0,0
1,8,7.714,-0.155,-3.02,0,0
1,9,1.064,6.082,-6.46,0,0
1,10,1.046,-0.366,-0.35,0,0
1,11,1.091,1.565,1.19,0,0
1,12,2.722,0.377,2.3,0,0
1,13,2.43,0.61,-6.19,0,0
1,14,3.981,1.043,0.02,0,0
1.1,0,-0.0032989,0.00403199,-0.0293236,0,0.0270752
1.1,1,1.011,0.033,-0.04,0,0
1.1,2,1.773,0.089,-1.46,0,0
1.1,3,2.988,0.067,0.03,0,0
1.1,4,4.026,0.055,-0.17,0,0
1.1,5,5.045,0.067,0.05,0,0
1.1,6,5.994,0.1,0.29,0,0
1.1,7,6.615,0.466,-1.21,0,0
1.1,8,7.714,-0.155,-3.02,0,0
1.1,9,1.064,6.082,-6.46,0,0
1.1,10,1.046,-0.366,-0.35,0,0
1.1,11,1.091,1.565,1.19,0,0
1.1,12,2.722,0.377,2.3,0,0
1.1,13,2.43,0.61,-6.19,0,0
1.1,14,3.981,1.043,0.02,0,0
1.2,0,-0.0035988,0.00439853,-0.0319893,0,0.0270752
1.2,1,1.011,0.033,-0.04,0,0
1.2,2,1.773,0.089,-1.46,0,0
1.2,3,2.988,0.067,0.03,0,0
1.2,4,4.026,0.055,-0.17,0,0
1.2,5,5.045,0.067,0.05,0,0
1.2,6,5.994,0.1,0.29,0,0
1.2,7,6.615,0.466,-1.21,0,0
1.2,8,7.714,-0.155,-3.02,0,0
1.2,9,1.064,6.082,-6.46,0,0
1.2,10,1.046,-0.366,-0.35,0,0
1.2,11,1.091,1.565,1.19,0,0
1.2,12,2.722,0.377,2.3,0,0
1.2,13,2.43,0.61,-6.19,0,0
1.2,14,3.981,1.043,0.02,0,0
1.3,0,-0.0038987,0.00476508,-0.0346551,0,0.0270752
1.3,1,1.011,0.033,-0.04,0,0
1.3,2,1.773,0.089,-1.46,0,0
1.3,3,2.988,0.067,0.03,0,0
1.3,4,4.026,0.055,-0.17,0,0
1.3,5,5.045,0.067,0.05,0,0
1.3,6,5.994,0.1,0.29,0,0
1.3,7,6.615,0.466,-1.21,0,0
1.3,8,7.714,-0.155,-3.02,0,0
1.3,9,1.064,6.082,-6.46,0,0
1.3,10,1.046,-0.366,-0.35,0,0
1.3,11,1.091,1.565,1.19,0,0
1.3,12,2.722,0.377,2.3,0,0
1.3,13,2.43,0.61,-6.19,0,0
1.3,14,3.981,1.043,0.02,0,0
1.4,0,-0.0041986,0.00513162,-0.0373209,0,0.0270752
1.4,1,1.011,0.033,-0.04,0,0
1.4,2,1.773,0.089,-1.46,0,0
1.4,3,2.988,0.067,0.03,0,0
1.4,4,4.026,0.055,-0.17,0,0
1.4,5,5.045,0.067,0.05,0,0
1.4,6,5.994,0.1,0.29,0,0
