time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
1.4,1,10.4995,10.7502,2,10.4597,10.7702,0,10.4535,10.7732,1,10.4914,10.7543,2,10.7226,10.6387,0,10.5474,10.7263,2,10.4635,10.7682,1,10.6054,10.6973,0,10.9687,10.5156,2,10.7092,10.6454,1,10.4405,10.7797,0,10.9487,10.5256,2,10.4238,10.7881,1,10.6552,10.6724,0,10.571,10.7145
1.5,1,10.4995,10.7502,2,10.4597,10.7702,0,10.4535,10.7732,1,10.4914,10.7543,2,10.7226,10.6387,0,10.5474,10.7263,2,10.4635,10.7682,1,10.6054,10.6973,0,10.9687,10.5156,2,10.7092,10.6454,1,10.4405,10.7797,0,10.9487,10.5256,2,10.4238,10.7881,1,10.6552,10.6724,0,10.571,10.7145
1.6,1,10.4999,10.7501,2,10.4597,10.7702,0,10.4536,10.7732,1,10.4915,10.7543,2,10.7225,10.6387,0,10.5475,10.7263,2,10.4635,10.7682,1,10.6054,10.6973,0,10.9688,10.5156,2,10.7092,10.6454,1,10.4406,10.7797,0,10.9487,10.5256,2,10.4238,10.7881,1,10.6552,10.6724,0,10.571,10.7145
1.7,1,10.4999,10.7501,2,10.4597,10.7702,0,10.4536,10.7732,1,10.4915,10.7543,2,10.7225,10.6387,0,10.5475,10.7263,2,10.4635,10.7682,1,10.6054,10.6973,0,10.9688,10.5156,2,10.7092,10.6454,1,10.4406,10.7797,0,10.9487,10.5256,2,10.4238,10.7881,1,10.6552,10.6724,0,10.571,10.7145
1.8,1,10.4999,10.7501,2,10.4597,10.7702,0,10.4536,10.7732,1,10.4915,10.7543,2,10.7225,10.6387,0,10.5475,10.7263,2,10.4635,10.7682,1,10.6054,10.6973,0,10.9688,10.5156,2,10.7092,10.6454,1,10.4406,10.7797,0,10.9487,10.5256,2,10.4238,10.7881,1,10.6552,10.6724,0,10.571,10.7145
1.9,1,10.4999,10.7501,2,10.4597,10.7702,0,10.4536,10.7732,1,10.4915,10.7543,2,10.7225,10.6387,0,10.5475,10.7263,2,10.4635,10.7682,1,10.6054,10.6973,0,10.9688,10.5156,2,10.7092,10.6454,1,10.4406,10.7797,0,10.9487,10.5256,2,10.4238,10.7881,1,10.6552,10.6724,0,10.571,10.7145
2,1,10.4999,10.7501,2,10.4597,10.7702,0,10.4536,10.7732,1,10.4915,10.7543,2,10.7225,10.6387,0,10.5475,10.7263,2,10.4635,10.7682,1,10.6054,10.6973,0,10.9688,10.5156,2,10.7092,10.6454,1,10.4406,10.7797,0,10.9487,10.5256,2,10.4238,10.7881,1,10.6552,10.6724,0,10.571,10.7145
2.1,1,10.5002,10.7499,2,10.4597,10.7701,0,10.4536,10.7732,1,10.4915,10.7543,2,10.7225,10.6388,0,10.5475,10.7262,2,10.4635,10.7682,1,10.6055,10.6973,0,10.9688,10.5156,2,10.7092,10.6454,1,10.4406,10.7797,0,10.9487,10.5257,2,10.4239,10.7881,1,10.6551,10.6724,0,10.5711,10.7145
2.2,1,10.5002,10.7499,2,10.4597,10.7701,0,10.4536,10.7732,1,10.4915,10.7543,2,10.7225,10.6388,0,10.5475,10.7262,2,10.4635,10.7682,1,10.6055,10.6973,0,10.9688,10.5156,2,10.7092,10.6454,1,10.4406,10.7797,0,10.9487,10.5257,2,10.4239,10.7881,1,10.6551,10.6724,0,10.5711,10.7145
2.3,1,10.5002,10.7499,2,10.4597,10.7701,0,10.4536,10.7732,1,10.4915,10.7543,2,10.7225,10.6388,0,10.5475,10.7262,2,10.4635,10.7682,1,10.6055,10.6973,0,10.9688,10.5156,2,10.7092,10.6454,1,10.4406,10.7797,0,10.9487,10.5257,2,10.4239,10.7881,1,10.6551,10.6724,0,10.5711,10.7145
2.4,1,10.5002,10.7499,2,10.4597,10.7701,0,10.4536,10.7732,1,10.4915,10.7543,2,10.7225,10.6388,0,10.5475,10.7262,2,10.4635,10.7682,1,10.6055,10.6973,0,10.9688,10.5156,2,10.7092,10.6454,1,10.4406,10.7797,0,10.9487,10.5257,2,10.4239,10.7881,1,10.6551,10.6724,0,10.5711,10.7145
